country,activity_sector,number_of_full_time_employees,percentage_of_telework,annual_consumption_of_electricity,annual_consumption_of_natural_gas,annual_consumption_of_propane,annual_consumption_of_fuel,annual_consumption_of_coal,annual_consumption_of_refrigerant,annual_consumption_of_GPL,fuel_consumption_of_gasoline,fuel_consumption_of_diesel,consumption_of_LPG,number_of_short_haul_round_trip,number_of_medium_haul_round_trip,number_of_long_haul_round_trip,tons_of_air_freight_lt_3000,tons_of_air_freight_gt_3000,tons_of_sea_freight_lt_3000,tons_of_sea_freight_gt_3000,expenses_of_paper,expenses_of_small_office_supplies,built_area_of_company,number_of_light_duty_vehicles,number_of_commercial_vehicles,number_of_heavy_vehicles,number_of_desktop_computers,number_of_laptops,number_of_individual_printers,number_of_servers,number_of_multifunction_printers,number_of_flat_panel_screens,carbon_footprint
Germany,IT,2823,46.98902433761428,374444.7027540522,70082.49973481696,8075.954458725399,185869.58344472144,8972.81398800877,1527.1579366729165,68445.88332594943,25623.086659319837,111672.18744465707,3596.097297092071,82,239,159,2699.562227421806,6809.882552246698,20340.458354831448,43065.0677640817,23931.26207067744,23728.42626766296,7789.481062607961,197,63,94,451,1414,465,58,92,873,2461511.921680607
Brazil,IT,2532,52.35087861296258,991666.0785217654,389321.589226494,97436.83553042197,490000.99073645065,3086.640352204777,2261.9848963521317,56996.16080276302,263889.8465649753,375203.2409786908,19506.03320110358,368,17,168,6254.962168731114,5499.060714989657,39355.7940680324,5306.381944507366,952.1651645044392,1062.0054027949327,62178.16463813531,68,116,78,226,1843,177,58,45,641,5163075.768067297
UK,Manufacturing,3905,89.1067123923902,402366.51724821486,364579.8806538765,28690.237065270474,227589.87966180287,9065.768120545237,2190.6093975365093,145582.26623826157,216890.2448813972,133415.07961754806,93793.66852451889,52,119,154,5421.972949545586,7750.515475887738,45677.86274122843,15642.888999894389,24703.760495527287,35078.13595116907,12597.002425357732,79,179,16,558,1109,387,2,83,772,3574557.1191572705
Australia,Agriculture,1119,27.02177386771818,106478.24883462978,301137.79448622477,27737.996803545295,472277.119693248,4206.299816666976,3598.538689750343,167630.21213764977,61904.386481421934,157625.20582325623,95073.32179307332,88,40,135,7115.551776794434,19158.07462525757,6786.344344165985,82985.06565561566,78860.26709755562,34600.5471300478,16652.109355091867,184,171,4,757,525,327,17,32,1268,3748776.05730066
Germany,IT,193,58.49351158472557,429108.1247487645,90671.7295206444,73525.50901771258,181075.9752520098,9359.176967964904,4023.382595386096,88478.12692392328,3161.1524523557646,458367.32229573384,35333.44112789702,315,104,111,3025.0483167370858,7846.660219212081,41203.33338238632,67788.42093417728,14831.836823568834,44597.47212848756,47178.23264281852,178,40,92,612,615,477,12,160,9,3334277.4395398186
China,Finance,762,15.27143890666257,194602.66626914882,224884.11241511785,191667.20117043782,458225.2493992634,3768.4244709184522,4292.982549707536,124568.70104264395,97089.13085397953,386786.75883886684,92968.78175046708,250,223,169,9033.402643345833,15137.298634106002,13869.532268075534,58145.969009045984,94717.95815364186,6684.808303889243,53935.783707451694,104,84,41,694,46,283,74,83,1974,4164981.9585062396
India,Transport,3485,62.83907121948673,152882.79380705007,267603.2663116189,187360.72780010448,7908.382655210877,7522.6583628783965,1162.4522605634613,186572.06176941073,12381.60432500346,155277.6066252603,100595.87362877063,288,275,153,1174.2110027358842,15216.138486604847,38492.46290253137,52654.37001813138,54007.531154998826,515.3818714504591,71392.04888406191,63,178,91,668,1763,409,33,130,519,2910789.872729524
India,Healthcare,1326,9.066103818940629,385552.92561111157,485255.7360014878,185575.9242381069,185714.37277314163,8372.898415837064,1238.4395173854157,188657.5044132654,485669.88718450314,450561.2888789623,199575.11484898828,22,204,149,4615.53852105159,14736.284529502103,23586.767326735808,95990.3330641475,61958.92577457126,38646.8262455766,92413.14469993635,187,157,97,363,895,130,59,51,1000,5920973.976622779
France,IT,429,14.38382928696953,347142.72232719365,109309.3091089984,33659.647229715614,272190.09731661144,4171.747554611113,4935.6233289063375,181600.02062395622,264058.85518992704,170585.73376802454,197017.38225415163,277,278,107,4093.713781839269,4671.953867840654,1985.3221980338565,30686.248417579987,28235.40992594434,31009.45787508699,93838.57851052938,132,136,57,818,595,309,24,105,1025,3729494.1588502564
France,Finance,385,15.909096043189086,121146.6442709035,175737.76864515862,17005.33597684497,481293.1567707816,5465.154903246104,4298.570130991955,189171.52000436076,86853.7857134829,337462.7763633428,165202.7336510329,400,104,80,6287.369367106939,19573.433247254867,19256.291055381953,6543.343490340892,40018.24493153988,39515.3742610371,48439.3470827163,87,13,7,588,379,313,20,69,1900,3697622.5956298993
Brazil,Agriculture,830,62.51031805456386,21796.58573466956,321342.58683167194,22033.74154970652,132415.12758842055,6066.508555971387,2483.839083614426,83477.86915118231,165535.58732892576,318347.06698838813,187471.82568207104,162,290,33,5474.098271058402,358.6249527004837,5069.606553972639,42157.85719542064,62210.09506062278,16097.517363377905,40063.66576667574,15,103,98,214,4,82,9,145,35,3536778.9174826066
Australia,Manufacturing,4300,68.41425518722076,634862.256406434,105251.98139634934,118018.10380146309,262155.3252603354,528.3578235960917,4928.422668436188,148828.18215715155,414674.4696761561,480607.3243826647,158691.74464275123,337,95,163,5870.260671129879,3458.0604801972336,23759.963235104737,67272.60506646555,95185.88647010576,15721.285353062218,58112.27059866361,138,22,74,336,1895,158,45,142,1948,4774203.385970659
Canada,Healthcare,2421,1.07396410098064,243335.09725636948,89548.58440611341,67830.13689889776,276276.0482677302,4582.092494184068,709.6579844778717,105084.79668185662,401276.04217287316,457097.14847980085,94531.79145691326,73,257,136,7960.847894772417,1601.9510617256371,37090.80971964336,7128.421258850038,63283.951090028284,46170.664193464654,92701.93397016221,124,11,68,159,983,251,2,130,960,4141572.9606885295
Brazil,Transport,556,82.74261303758593,857256.7902035228,221129.0922424229,175057.5966921215,169844.35560307553,1893.0314005621829,4935.878507752785,152360.89202861482,498551.6925801731,162290.66409970887,41959.10896725756,181,103,108,6395.364097950088,13163.489412272342,37328.89691464428,53662.50725404098,55720.538695027135,40041.19799805553,84224.76727796799,77,130,35,229,1920,161,95,69,1155,4055908.653623529
India,Healthcare,394,79.98387992934717,312818.74623860314,260424.93253871234,131773.25633869175,57495.8572110833,6324.098582322933,1267.5346704637002,165183.6281406468,186764.49914288605,394636.3593668287,162836.70033257388,185,169,172,6698.28871557815,5797.000058668438,6614.18678087125,68749.6683937395,5940.409794209331,30421.311757882286,57976.07966652361,160,23,38,679,110,147,86,134,239,3554761.718844662
Germany,Healthcare,970,21.708508645813595,547310.5101731564,344147.85406662,199627.09850068553,399085.46138390736,9366.064725135237,4652.040999922071,125650.49086138752,174493.9418053592,47739.283444775734,72557.70857821133,0,288,76,5487.292934479051,1128.1034867096773,10548.109131238325,97605.07867035318,21370.520846738127,46689.635278653805,39474.88507994721,101,197,78,585,1279,399,86,114,923,4129172.436878665
Canada,Finance,2083,8.937636894635636,225268.1992619552,380143.47486731363,181672.28288263295,333022.2036845809,3219.8151191196735,2324.5084522951547,6779.25825634913,78437.08957123452,52205.10320378047,82609.97430907584,366,250,15,73.17559379848237,7016.689148591049,1661.3382954529466,85032.76063111033,1627.7752588422811,32836.14126906669,76102.88105764663,199,117,4,129,559,95,58,76,895,2934355.686131152
Canada,Retail,3956,58.23733164526047,188907.45191230674,434438.6899477099,114131.9163096699,90719.2532861224,3896.1519543536406,2341.7983285874875,155403.8352138314,413003.6439667213,375427.4712017752,136061.33791380769,64,35,176,3621.31380336843,15439.260547455993,32586.370361713285,23836.205654251684,24086.087882707707,46097.58402979795,29081.30780185571,72,74,19,365,1626,376,58,103,682,4190579.2539123483
USA,Healthcare,4729,86.88252275764448,945058.4247694918,169455.19031851436,166271.98106872244,139197.81625525752,8429.359843876053,557.6982319757079,199006.77965292256,310510.0649777974,249497.90646264813,182889.0319828899,113,58,155,984.7407499111749,4489.367540873271,44023.674360277684,59392.748731366206,99074.3471517278,6121.628651656238,41955.30965581048,135,188,41,414,598,160,44,107,1082,4177731.6231433004
Australia,Finance,3532,35.09212610322583,679191.8150237479,252052.7077745634,32061.439781296787,96542.80762247913,7554.566106057577,4501.033922803747,147213.16859933373,217524.49797208435,223018.52008087092,66848.10148550657,39,146,143,4346.793202980016,16388.38528691403,22234.78765401648,65647.60907154954,20370.148593669666,21223.829188189113,80690.49984675401,24,182,58,462,914,236,20,108,1039,3573442.133905246
Brazil,Transport,2246,96.51974681328369,949874.0244836422,431676.2654078398,172042.49341312057,125468.32951084014,8717.57894634163,4236.4475065458155,4721.205247947147,112414.49154597067,455960.6029472552,181748.90836561585,287,210,107,4374.733836650191,2886.9581445770896,32904.3405967817,83429.58565891309,9989.97303227089,33847.77123702667,47249.38201605328,84,83,56,700,1203,289,48,40,1282,4314432.970988174
USA,Agriculture,369,97.43948196210758,204081.726252669,231679.1775765889,143174.0128954516,183867.5867964144,6987.525193266864,2862.068774129044,153106.0152357398,189251.59867568113,142527.85510317367,175890.9434876745,352,230,59,3676.882929948928,15833.789212597978,14939.028935263637,41548.22799296127,26477.757526531423,35915.970240574236,76174.16704577663,23,156,74,969,114,264,0,19,180,3395202.5799857406
Canada,Retail,1412,1.4734511140685802,750054.8191996384,69109.43260128832,77454.45196990587,215283.51749716056,4972.43755929243,1378.0746726381237,114628.6036200267,352266.69756531995,481006.78030897747,158958.70327503217,369,187,144,6543.638682887102,9155.216762266238,46528.707220208446,27004.83981189309,29465.08872956416,4419.660818008575,10564.589771689096,103,141,46,831,1122,438,78,61,1675,4539444.165416746
Japan,Agriculture,4278,65.55236048883947,227423.6476588188,217710.110680542,161406.64992409982,456859.33065222343,3153.695728165863,2878.689315265849,171462.2388209268,74400.49014741856,90936.3720184116,166093.64522138922,367,250,164,9911.06434063596,18004.18507395974,35537.56922728696,88644.6241623081,68097.60573925423,9322.554812554727,36215.26750338244,44,118,15,177,1241,344,79,10,1749,3550918.6217599474
UK,Finance,2649,35.102600755458305,750430.0108618774,384933.1273394827,131431.01279067574,204566.03692704378,9488.902066297052,2852.12338323448,32704.055315434278,306291.43790121935,116167.99140722888,74183.67391070572,192,258,172,788.5357916547375,12951.638282150794,47253.242920466226,57469.22939154967,39167.12196396596,48843.57848835515,21851.671459275767,4,80,17,626,1946,425,59,114,1412,3571215.2904509786
USA,Finance,4856,14.048648686451859,831437.0941542125,234701.18306466087,17384.56201709895,249955.74432731187,6429.524308390454,2134.9913476929673,167918.02562468586,248859.59143745323,128806.61019069595,129654.13805708972,462,106,169,8439.683981829086,17052.398066441998,48406.32079865103,76077.58970320497,47185.1962740267,7569.5170363007965,15018.188905333149,109,55,98,691,1227,399,31,11,710,4111914.125230839
France,Finance,4723,74.07328959855974,217435.69204372307,122543.09116254824,195785.7019494466,494490.56683969527,4194.937445800745,766.009451985794,188645.25025689704,44499.1539510039,250301.1855668855,188709.19221160238,64,206,136,7936.304882443006,10454.501512284296,41884.46828976846,29989.340260123932,98165.52772829117,43559.34268139864,9205.989478348205,177,104,76,906,936,251,34,143,1516,4111540.3005335806
China,Healthcare,3450,71.58585865529268,369932.3798021344,470714.2875304516,54234.692003254546,28231.293858003715,5914.246761262085,182.90939630042968,94113.43965554249,136839.30407182203,92082.5186262183,164299.11309300392,271,292,18,4455.2544811861135,12219.850971601245,29581.087149305953,88793.52724409167,91436.83875667436,38610.8606560946,43549.513724770615,178,117,21,855,815,401,83,193,1364,3143514.1435014997
India,Manufacturing,108,5.100621196265553,607463.2289280882,152354.267513922,109451.956542179,125619.2010621317,8590.81281727018,1535.1098248060457,92482.88362559784,384755.2025778995,253889.5138001458,39971.41159001356,130,230,183,9173.279342480524,17361.018798079833,2030.975352008668,97597.27314920218,34905.65197883542,26653.3048482433,27908.486780224233,197,198,19,595,1615,214,4,191,120,3836924.016655817
Canada,Transport,1111,13.926116517299436,910990.9031666884,259650.82151257567,173849.84528061684,449455.9505452665,2535.551932893657,3314.564048734214,145887.1115114201,24268.91873510412,279894.8277348246,188463.08911174547,467,75,53,1660.5222773919759,17237.888044871128,13681.614470513608,89631.83331345062,68565.57169550475,18163.263434839155,91292.15540993515,119,43,14,601,1454,140,92,44,1034,4102023.208401797
Australia,Healthcare,2986,7.654891268217934,32216.673294991502,176572.59780935486,57740.28466797991,64533.36518419634,7757.191262275326,4037.191070981622,62977.485342659435,141379.71046090501,141013.41922933634,191903.20982816315,473,148,112,7874.64348854539,15006.070950440027,42374.05790804457,7291.077595076911,60783.38317268297,31208.781778778288,62370.303128148895,99,106,75,948,1521,212,28,137,489,2697615.1475911266
Germany,Transport,2450,59.40676762743438,560400.145560907,208476.36132351865,46180.59002678625,273186.9338942022,5530.919317536304,3153.5147398558797,167251.4851311128,350361.2435196478,439197.06749013707,176303.13054435106,95,288,62,6876.119031871944,8166.677953962345,43279.25676803833,95640.49395386998,87131.0237459824,43155.65721365985,46097.89977187953,112,131,58,514,1107,324,44,32,1485,4958296.63890256
Japan,Transport,3996,28.63920756608781,141561.85194513376,321662.97835858644,111066.98454978556,284144.81228471023,6627.126806872735,2721.1332265503124,170294.9060751615,273451.3979540521,2553.3293357061225,185262.01421788565,210,178,116,594.2159781654688,16800.67966603103,7199.383672561005,84587.74984906301,95538.21918051012,3232.2901796032415,85394.65316715876,0,151,43,308,100,499,69,179,1060,3546705.6614380614
USA,Healthcare,4819,56.18515763950052,427437.1059460147,240605.26177148856,70368.46889497797,442592.1365095058,7445.993957053096,4227.133309249582,126656.96152883448,451037.58389674395,206766.76946535934,142993.64254056668,217,204,97,3874.3089932881257,10481.546124044766,30662.930175473433,55452.939556647805,54437.05748932955,8506.254641030322,45436.44251884908,32,123,87,259,1366,380,92,161,437,4883843.711926264
Japan,Healthcare,2248,68.49408336696419,536359.5179851295,51071.366124418535,138375.52642395135,468131.77455257875,2188.090480761905,2315.749863994954,104662.04789403181,175802.76493667002,451305.6428699979,64211.22633631952,70,267,41,6221.3592371291525,18730.272977661323,4857.187807714891,21695.429657275767,44410.37311227374,36727.31855155064,15064.404517500727,44,194,94,515,1015,319,0,16,854,4542954.121593879
USA,Healthcare,446,34.93073020044706,790428.8471840607,254312.94368210316,64359.86385329002,262135.18958185517,9687.031806822995,2189.2641701386488,167638.8846082223,490429.0093733145,217674.7991443302,37168.28949479618,236,11,77,4233.41166502845,7477.573237681146,35703.38339855943,60404.69863602707,49470.4253192597,27275.999883750424,94248.42422523016,28,68,43,201,980,427,87,184,1463,4280412.3611950595
India,Retail,2211,34.85058351372001,998123.5944084236,149045.64132752002,197852.74991055508,307734.7911434522,3760.150323453153,3361.5606161609967,35862.71350468098,231275.5946373803,185239.57636360844,109198.8784888225,185,250,177,9294.900424750449,12034.837257890176,25645.125172892873,42409.457970621675,36738.90316041962,31694.311183150472,38338.94667344816,112,61,96,171,180,454,81,174,524,3891997.1103960117
China,Retail,931,74.844516908154,562112.2628408012,315495.39060229436,56560.305728158,202852.11987782575,6105.571402543575,1860.0548048306175,24256.18938871237,153058.09713401974,17657.19855988618,60800.95611271228,322,234,145,3572.877346261807,8070.8217390165,42564.9383991073,40535.7528611988,16058.029633434073,44983.55698818137,3338.9510730425022,164,128,51,960,1114,34,80,151,827,3071497.1322694323
Australia,Finance,1943,35.35478695284725,433546.54258981947,90831.89512337431,127480.86001593088,58141.20077264639,6550.973581182135,1872.5072641321794,7446.131535599498,315636.4661061199,217344.91640814164,55456.35136306593,43,218,28,60.264821710657166,18015.8266921553,40023.27501659578,6934.646017717428,87428.34783289274,7857.492424256233,33669.535023486176,137,45,97,489,1406,208,3,36,902,2892653.3047882756
Japan,IT,921,35.00253054496332,510091.02979573706,290991.9129666965,54291.81231786566,466565.6197264683,4992.247083731476,4631.765011092462,449.35123105334094,134173.17884264045,79332.4768714564,95383.59764009992,476,96,145,7153.56507712254,14741.872439034636,38642.20597974252,28513.943545259957,21358.120523762453,29771.960983234323,47606.655418051836,103,187,25,506,617,449,82,56,268,3641977.1574050654
Canada,Transport,2352,60.21295969056734,603755.2725202491,225010.558284103,92286.43734107871,95513.10670535773,776.8087760780662,270.8183901783773,132582.7627599232,272987.3105395154,465911.09730530926,5130.758451087902,164,189,108,7792.0190410762225,7468.362405564734,48592.750092885064,34251.95398684614,85929.44502007953,48306.640757915215,2596.6430953073304,90,156,25,116,1871,131,25,73,119,3888425.1244909563
China,IT,3111,7.015526951152307,88798.2673657564,404084.8188763443,58258.99316385352,239912.080187766,6965.178718608113,3020.618356579858,43229.50682140996,298356.7887615139,442440.27783794724,136834.49911908188,234,243,168,2874.22615155821,16320.594674217113,7862.05085910392,44381.74631160827,92583.46333397471,20745.948961597463,48494.59066376705,154,157,93,954,677,372,69,190,132,4872186.940199764
UK,Manufacturing,2002,34.19166901576701,76552.93310438967,169524.62388384488,83176.35978651805,277288.93627600843,1633.212457452492,3005.809795514907,170893.71306539024,338674.3744307531,441881.860406229,94966.33799596237,208,129,181,2212.254479525928,15638.302723602912,25496.160971325848,83386.34834923613,29689.650616685314,24982.410178190712,14622.094197490409,72,57,18,81,750,131,74,165,0,4070518.6905088443
Germany,Agriculture,3184,13.10565250794008,347163.94862120476,50028.39325350677,126388.1058835958,169293.16294753787,7897.65255518551,3814.352031225335,81594.15481876743,104940.2281346799,191336.97311835902,135684.22525311363,134,41,31,5147.282466212247,17266.27642325119,1487.9148189395119,77780.66512927742,24543.00196034628,506.77036186384015,34966.17551814576,166,96,5,838,1417,496,35,58,1136,2508377.783803034
Brazil,Finance,74,88.08643660629723,63943.633271442915,42622.597486541235,141157.42629152702,377840.16838569555,7257.742856002797,3090.082380392113,124998.2674984916,425028.26035440544,269165.21844474017,136562.91933825985,254,154,72,4043.3321945466837,5614.96749028197,12772.814678258166,9722.811264136322,51898.49373461489,3505.3907069932743,26592.04975201216,198,61,78,925,534,122,60,109,1088,4097292.991991857
UK,Transport,4480,33.000188688852376,497784.229187234,225202.04350592988,47135.62664143141,350754.8861255695,8762.54604460207,1366.7907633888642,136189.13584870077,32755.31990778424,131450.26833318034,55736.398984746564,240,199,113,8536.649562976118,16057.41929781922,7994.536500066668,76055.09759880709,97013.02915058617,36617.34833371409,73464.2253256454,130,93,14,489,1632,106,68,177,1518,3173168.710416823
India,Manufacturing,240,46.78524620612182,261629.1019111522,258920.08434443502,179827.77779266826,110604.52179775148,4929.957721268352,2201.8757501257387,114154.08662656198,351044.38137869653,223908.08771244652,61212.46283402433,482,285,123,3827.82381908489,16471.141884215518,16202.662038549464,77114.8896940867,38797.3181706688,43792.27002421945,48458.586907578814,88,146,75,176,1112,156,27,89,1248,3788152.012805677
France,Retail,651,8.718919419807003,57313.67678219982,187571.49911883607,64447.89490359039,227996.10353462302,2467.157857381027,2065.094135355361,24985.8357859877,304628.5843550243,191325.1338993837,33502.34286565699,442,67,75,9925.857628706335,18364.619318602214,13691.996742038193,7859.636869759856,58325.335855707344,6282.814461947187,82349.96855733721,107,177,61,879,1980,308,89,154,184,3351514.0028054565
China,Healthcare,2080,49.46805624658911,55950.3524956117,393757.7452322513,12368.997818504778,443267.4371404216,4365.695532015421,4049.330699152499,76668.658990373,428320.16157835594,164966.64564086995,90791.96882960275,421,207,29,4465.570464328323,5557.632666056742,16078.269219392427,59953.89470566559,86173.51773605366,41153.42155993728,60268.70356289177,33,198,81,830,1755,72,71,59,746,4785115.330072792
France,Agriculture,1354,65.80332496381261,412671.9456089536,332642.2680629313,189375.32675057102,290210.187881688,3438.680775389775,1034.0558236598185,12050.211651252373,434960.1990443584,417967.1858443992,195846.55356866086,313,2,4,9558.049808143182,4986.726277766811,17851.370244387104,96839.81213697752,13343.61666335229,42632.91241705779,76728.38617254778,165,56,81,369,1819,179,22,62,223,4938502.886380284
France,Agriculture,1650,4.460212760702764,334456.27946227253,282711.0877798042,54466.15294249541,116530.93179533491,6265.42065941029,1817.457293289868,37290.785992460165,412609.9445711861,292373.39549589506,154530.9456460425,176,278,167,0.7110492507911292,13883.742247187625,29166.74295037181,59028.7982691548,349.2690263362632,14100.80404727882,29192.671739743193,47,71,21,474,1266,226,9,199,1661,3723316.1196258776
Brazil,Manufacturing,2099,33.23255576278877,815373.1379877124,305572.1592031226,199351.18709688954,127811.31068707374,1073.1056131944638,1251.1531569834094,75571.11376890622,240195.0013707611,440761.03670289577,9275.303207781915,103,102,195,7777.7712008913095,9077.154368603537,23454.684214689787,29366.330225859492,22119.30501997064,3408.4466166562634,94144.8967280942,99,190,2,959,605,324,19,23,1398,3966271.5202181954
UK,Manufacturing,3049,55.66921057640685,135046.5601238509,381701.0032796241,109452.07770101797,243948.52816071326,5376.457903440114,2623.648214124931,146867.87845135448,411377.0690864134,482068.59894517803,63867.42351922776,492,170,193,1203.8401243971264,14333.02546441814,44957.1337701431,38069.44712009589,83493.88658640295,42697.86623651148,91670.81321370006,164,7,80,872,1733,437,20,169,1885,5001016.512520873
USA,Retail,744,99.63240083288862,32240.039161090284,303970.60612660274,169760.62813498007,419999.6450809679,6210.62352881271,702.860138176838,102608.26711336437,430137.5169720068,38870.57564984081,45928.01130565298,442,50,184,8629.192496335729,16404.870505807387,3938.180905535943,83124.37646428746,16051.042184992712,5144.584481824676,11051.053226111859,172,44,98,231,848,452,3,29,1664,4159024.350043
Japan,Finance,2873,76.62141973571246,64976.02705825912,111372.738497866,21674.867406651076,112480.39658832038,3328.8563201829047,1745.4844407624926,141409.12181365208,370466.38034883037,87200.03773160618,53828.313716879195,171,22,101,7649.359251695802,10752.772083995016,633.8582731807818,73007.61288634497,75904.59212028704,27882.56527097642,74283.57474812445,108,150,24,544,147,484,17,196,1002,2746316.489132508
Germany,Healthcare,1851,56.68919539686244,335416.33244274795,203071.65220760347,110316.5457131269,83661.3059789641,401.7280116057853,4377.073099931418,108253.33764437346,420409.9663847406,450609.97875363723,113331.8371969156,333,240,107,535.3396473614081,12871.563712301338,8945.995621996612,79458.8957913629,86263.30183563777,20062.638321759394,85334.33465463635,52,187,44,18,1306,165,11,29,198,4228922.718102747
Germany,Agriculture,3038,20.88333946062407,608363.9200041858,68077.89400136644,3744.5152425042315,172131.61837940942,3524.9460552556366,4107.087279479376,5475.417003186922,24234.6607551685,488730.4332712391,41443.05300837208,242,108,157,9976.288441376624,3470.7068330085854,42206.105659202694,48938.62757152168,51805.58831388289,30058.755394608448,86701.06241235767,38,171,72,232,88,431,68,149,1561,3333938.431816773
China,Healthcare,3172,96.88029636645722,502661.78621904954,435642.0454503682,75954.28739163182,29635.22485321429,5333.335945998397,4651.444364547013,99435.19885357565,238460.43077947843,355476.1806524113,25032.411414462596,390,100,107,5448.342068157916,13980.171181835341,29041.68733883102,3403.6868626034056,17728.5377253151,42335.70653297387,10812.963168733946,16,11,82,484,1078,391,17,48,281,3584897.1286094342
Germany,Finance,1834,20.164978955012536,572149.0785331634,109301.33928171726,8226.510687165179,446832.78187057533,530.3451526920877,1658.1686563095732,26610.50370967031,372387.8624629597,289785.341249272,102971.98190284356,445,1,101,9520.155655277744,10906.781218012018,19456.839199390757,30092.76963601454,38799.333409867744,40005.53852800918,52209.914272871625,141,66,47,536,273,125,8,82,603,4151572.2116637076
